data_element,group,status,format_length,national_codes,link
SARCOMA SURGICAL MARGIN,Core,R,an1,See SARCOMA SURGICAL MARGIN,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sarcoma_surgical_margin_de.asp?shownav=0
TUMOUR BREACH IDENTIFIER,Core,R,an1,See TUMOUR BREACH IDENTIFIER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_breach_identifier_de.asp?shownav=0
TUMOUR NECROSIS,Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_necrosis_de.asp?shownav=0
TUMOUR DEPTH,Core,R,an1,See TUMOUR DEPTH,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_depth_de.asp?shownav=0
MITOTIC RATE (SARCOMA),Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/mitotic_rate_(sarcoma)_de.asp?shownav=0
SKIN CANCER LESION NUMBER,Core,R,max an3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/skin_cancer_lesion_number_de.asp?shownav=0
PERINEURAL INVASION INDICATOR,Core,R,an1,See PERINEURAL INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/perineural_invasion_indicator_de.asp?shownav=0
LESION DIAMETER GREATER THAN 20MM INDICATION CODE,Core,R,an1,See LESION DIAMETER GREATER THAN 20MM INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_diameter_greater_than_20mm_indication_code_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PT3),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(pt3)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PT4),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(pt4)_de.asp?shownav=0
CLARKS LEVEL IV INDICATION CODE,Core,R,an1,See CLARKS LEVEL IV INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clarks_level_iv_indication_code_de.asp?shownav=0
LESION VERTICAL THICKNESS GREATER THAN 2MM INDICATION CODE,Core,R,an1,See LESION VERTICAL THICKNESS GREATER THAN 2MM INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_vertical_thickness_greater_than_2mm_indication_code_de.asp?shownav=0
ULCERATION INDICATION CODE,Core,R,an1,See ULCERATION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/ulceration_indication_code_de.asp?shownav=0
MITOTIC RATE (SKIN),Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/mitotic_rate_(skin)_de.asp?shownav=0
MICROSATELLITE OR IN-TRANSIT METASTASIS INDICATION CODE,Core,R,an1,See MICROSATELLITE OR IN-TRANSIT METASTASIS INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microsatellite_or_in-transit_metastasis_indication_code_de.asp?shownav=0
TUMOUR REGRESSION INDICATION CODE,Core,R,an1,See TUMOUR REGRESSION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_regression_indication_code_de.asp?shownav=0
BRESLOW THICKNESS,Core,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/br/breslow_thickness_de.asp?shownav=0
TUMOUR INFILTRATING LYMPHOCYTE TYPE,Core,R,an1,See TUMOUR INFILTRATING LYMPHOCYTE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_infiltrating_lymphocyte_type_de.asp?shownav=0
NUMBER OF SENTINEL NODES SAMPLED,Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_sentinel_nodes_sampled_de.asp?shownav=0
NUMBER OF SENTINEL NODES POSITIVE,Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_sentinel_nodes_positive_de.asp?shownav=0
NUMBER OF NODES SAMPLED (POST SENTINEL NODE COMPLETION LYMPHADENECTOMY),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_sampled_(post_sentinel_node_completion_lymphadenectomy)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (POST SENTINEL NODE COMPLETION LYMPHADENECTOMY),Core,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(post_sentinel_node_completion_lymphadenectomy)_de.asp?shownav=0
NUMBER OF COLORECTAL METASTASES IN LIVER CODE,Core,R,an1,See NUMBER OF COLORECTAL METASTASES IN LIVER CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_colorectal_metastases_in_liver_code_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (POSITIVE PROXIMAL OR DISTAL RESECTION MARGIN),Core,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(positive_proximal_or_distal_resection_margin)_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (CIRCUMFERENTIAL MARGIN),Core,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(circumferential_margin)_de.asp?shownav=0
DETRUSOR MUSCLE PRESENCE INDICATION CODE,Core,R,an1,See DETRUSOR MUSCLE PRESENCE INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/del/detrusor_muscle_presence_indication_code_de.asp?shownav=0
TUMOUR GRADE (UROLOGY),Core,R,an1,See TUMOUR GRADE FOR UROLOGY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_grade_(urology)_de.asp?shownav=0
TUMOUR NECROSIS INDICATOR,Core,R,an1,See TUMOUR NECROSIS INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_necrosis_indicator_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PERINEPHRIC FAT),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(perinephric_fat)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (ADRENAL),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(adrenal)_de.asp?shownav=0
RENAL VEIN TUMOUR INDICATOR,Core,R,an1,See RENAL VEIN TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ren/renal_vein_tumour_indicator_de.asp?shownav=0
TUMOUR INVASION INDICATOR (GEROTAS FASCIA),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(gerotas_fascia)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (CORPUS SPONGIOSUM),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(corpus_spongiosum)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (CORPUS CAVERNOSUM),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(corpus_cavernosum)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (URETHRA OR PROSTATE),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(urethra_or_prostate)_de.asp?shownav=0
GLEASON GRADE (PRIMARY),Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/gleason_grade_(primary)_de.asp?shownav=0
GLEASON GRADE (SECONDARY),Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/gleason_grade_(secondary)_de.asp?shownav=0
GLEASON GRADE (TERTIARY),Core,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/gleason_grade_(tertiary)_de.asp?shownav=0
PERINEURAL INVASION INDICATOR,Core,R,an1,See PERINEURAL INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/perineural_invasion_indicator_de.asp?shownav=0
ORGAN CONFINED INDICATOR,Core,R,an1,See ORGAN CONFINED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organ_confined_indicator_de.asp?shownav=0
TUMOUR INVASION INDICATOR (SEMINAL VESICLES),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(seminal_vesicles)_de.asp?shownav=0
TURP TUMOUR PERCENTAGE,Core,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/turp_tumour_percentage_de.asp?shownav=0
TUMOUR INVASION INDICATOR (RETE TESTIS),Core,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(rete_testis)_de.asp?shownav=0
PERSON DEATH DATE,Core,O,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_death_date_de.asp?shownav=0
DEATH LOCATION TYPE CODE (ACTUAL),Core,O,an2,See DEATH LOCATION TYPE CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dea/death_location_type_code_(actual)_de.asp?shownav=0
DATE OF CLINICAL ASSESSMENT,Breast,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_of_clinical_assessment_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF CLINICAL ASSESSMENT),Breast,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_clinical_assessment)_de.asp?shownav=0
CLINICAL ASSESSMENT RESULT CODE (BREAST CANCER),Breast,R,an2,See CLINICAL ASSESSMENT RESULT CODE FOR BREAST CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_assessment_result_code_(breast_cancer)_de.asp?shownav=0
MENOPAUSAL STATUS CODE (BREAST CANCER AT DIAGNOSIS),Breast,R,an1,See MENOPAUSAL STATUS CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/menopausal_status_code_(breast_cancer_at_diagnosis)_de.asp?shownav=0
NOTTINGHAM PROGNOSTIC INDEX SCORE,Breast,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/nottingham_prognostic_index_score_de.asp?shownav=0
LESION LOCATION (RADIOLOGICAL),Central Nervous System,R,an2,See TUMOUR OR LESION LOCATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_location_(radiological)_de.asp?shownav=0
NUMBER OF LESIONS (RADIOLOGICAL),Central Nervous System,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_lesions_(radiological)_de.asp?shownav=0
LESION SIZE (RADIOLOGICAL),Central Nervous System,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_size_(radiological)_de.asp?shownav=0
PRINCIPAL DIAGNOSTIC IMAGING TYPE,Central Nervous System,R,an1,See PRINCIPAL DIAGNOSTIC IMAGING TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/principal_diagnostic_imaging_type_de.asp?shownav=0
VISUAL ACUITY TEST RESULT (AT DIAGNOSIS),Central Nervous System,R,an1,See VISUAL ACUITY OR FIELD TEST RESULT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/v/visual_acuity_test_result_(at_diagnosis)_de.asp?shownav=0
VISUAL FIELD TEST RESULT (AT DIAGNOSIS),Central Nervous System,R,an1,See VISUAL ACUITY OR FIELD TEST RESULT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/v/visual_field_test_result_(at_diagnosis)_de.asp?shownav=0
PROVISIONAL DIAGNOSIS (ICD),Central Nervous System,R,See ICD-10 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/provisional_diagnosis_(icd)_de.asp?shownav=0
CHANG STAGING SYSTEM STAGE,Central Nervous System,R,an2,See CHANG STAGING SYSTEM STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/chang_staging_system_stage_de.asp?shownav=0
CHANG STAGING SYSTEM STAGE DATE,Central Nervous System,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/chang_staging_system_stage_date_de.asp?shownav=0
TUMOUR LOCATION (SURGICAL),Central Nervous System,R,an2,See TUMOUR OR LESION LOCATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_location_(surgical)_de.asp?shownav=0
BIOPSY TYPE (CENTRAL NERVOUS SYSTEM TUMOURS),Central Nervous System,R,an1,See BIOPSY TYPE FOR CENTRAL NERVOUS SYSTEM TUMOURS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/biopsy_type_(central_nervous_system_tumours)_de.asp?shownav=0
EXCISION TYPE (CENTRAL NERVOUS SYSTEM TUMOURS),Central Nervous System,R,an1,See EXCISION TYPE FOR CENTRAL NERVOUS SYSTEM TUMOURS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/excision_type_(central_nervous_system_tumours)_de.asp?shownav=0
RESECTION STATUS,Central Nervous System,R,an1,See RESECTION STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/resection_status_de.asp?shownav=0
ALPHA FETOPROTEIN (CEREBROSPINAL FLUID),Central Nervous System,R,See ALPHA FETOPROTEIN,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/alpha_fetoprotein_(cerebrospinal_fluid)_de.asp?shownav=0
BETA HUMAN CHORIONIC GONADOTROPIN (CEREBROSPINAL FLUID),Central Nervous System,R,See BETA HUMAN CHORIONIC GONADOTROPIN,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/beta_human_chorionic_gonadotropin_(cerebrospinal_fluid)_de.asp?shownav=0
SYNCHRONOUS TUMOUR COLON LOCATION,Colorectal,R,an2,See SYNCHRONOUS TUMOUR COLON LOCATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sy/synchronous_tumour_colon_location_de.asp?shownav=0
TUMOUR HEIGHT ABOVE ANAL VERGE,Colorectal,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_height_above_anal_verge_de.asp?shownav=0
MODIFIED DUKES STAGE,Colorectal,R,max an2,See MODIFIED DUKES STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/modified_dukes_stage_de.asp?shownav=0
MODIFIED DUKES STAGE DATE,Colorectal,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/modified_dukes_stage_date_de.asp?shownav=0
CARE PROFESSIONAL MAIN SPECIALTY CODE (CANCER REFERRAL),CTYA,R,an3,See MAIN SPECIALTY CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_main_specialty_code_(cancer_referral)_de.asp?shownav=0
CARE PROFESSIONAL MAIN SPECIALTY CODE (DIAGNOSIS),CTYA,R,an3,See MAIN SPECIALTY CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_main_specialty_code_(diagnosis)_de.asp?shownav=0
CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY (CONSULTANT AT DIAGNOSIS),CTYA,R,an1,See CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/children_teenagers_and_young_adults_age_category_(consultant_at_diagnosis)_de.asp?shownav=0
LIFE THREATENING SYMPTOMS AT DIAGNOSIS INDICATOR (NEUROBLASTOMA),CTYA,R,an1,See LIFE THREATENING SYMPTOMS AT DIAGNOSIS INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/life_threatening_symptoms_at_diagnosis_indicator_(neuroblastoma)_de.asp?shownav=0
WILMS TUMOUR STAGE,CTYA,R,an1,See WILMS TUMOUR STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/w/we/wilms_tumour_stage_de.asp?shownav=0
WILMS TUMOUR STAGE DATE,CTYA,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/w/we/wilms_tumour_stage_date_de.asp?shownav=0
INTERNATIONAL NEUROBLASTOMA RISK GROUP STAGING SYSTEM STAGE,CTYA,R,max an2,See INTERNATIONAL NEUROBLASTOMA RISK GROUP STAGING SYSTEM STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/international_neuroblastoma_risk_group_staging_system_stage_de.asp?shownav=0
INTERNATIONAL NEUROBLASTOMA RISK GROUP STAGING SYSTEM DATE,CTYA,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/international_neuroblastoma_risk_group_staging_system_date_de.asp?shownav=0
PRETEXT STAGING SYSTEM STAGE,CTYA,R,an1,See PRETEXT STAGING SYSTEM STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pret/pretext_staging_system_stage_de.asp?shownav=0
PRETEXT STAGING SYSTEM STAGE (OUTSIDE LIVER),CTYA,R,an1,See PRETEXT STAGING SYSTEM STAGE OUTSIDE LIVER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pret/pretext_staging_system_stage_(outside_liver)_de.asp?shownav=0
RETINOBLASTOMA ASSESSMENT DATE,CTYA,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/retinoblastoma_assessment_date_de.asp?shownav=0
INTERNATIONAL STAGING SYSTEM STAGE (RETINOBLASTOMA),CTYA,R,an1,See INTERNATIONAL STAGING SYSTEM STAGE FOR RETINOBLASTOMA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/international_staging_system_stage_(retinoblastoma)_de.asp?shownav=0
PATIENT TREATED TO CHILDRENS CANCER AND LEUKAEMIA GROUP GUIDELINES INDICATOR,CTYA,R,an1,See PATIENT TREATED TO CHILDRENS CANCER AND LEUKAEMIA GROUP GUIDELINES INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_treated_to_childrens_cancer_and_leukaemia_group_guidelines_indicator_de.asp?shownav=0
CHILDRENS CANCER AND LEUKAEMIA GROUP GUIDELINE NAME,CTYA,R,max an100,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/childrens_cancer_and_leukaemia_group_guideline_name_de.asp?shownav=0
CYTOGENETIC RISK CODE (NEUROBLASTOMA),CTYA,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytogenetic_risk_code_(neuroblastoma)_de.asp?shownav=0
FERRITIN VALUE,CTYA,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/ferritin_value_de.asp?shownav=0
URINE VANILLYLMANDELIC ACID CREATININE RATIO,CTYA,R,max n2.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/ur/urine_vanillylmandelic_acid_creatinine%20ratio_de.asp?shownav=0
PATHOLOGICAL RISK CLASSIFICATION CODE (AFTER NEPHRECTOMY),CTYA,R,an1,See PATHOLOGICAL RISK CLASSIFICATION CODE AFTER NEPHRECTOMY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathological_risk_classification_code_(after_nephrectomy)_de.asp?shownav=0
PATHOLOGICAL RISK CLASSIFICATION CODE (AFTER PREOPERATIVE CHEMOTHERAPY),CTYA,R,an1,See PATHOLOGICAL RISK CLASSIFICATION CODE AFTER PREOPERATIVE CHEMOTHERAPY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/pathological_risk_classification_code_(after_preoperative_chemotherapy)_de.asp?shownav=0
RETINOBLASTOMA ASSESSMENT LATERALITY,CTYA,R,an1,See RETINOBLASTOMA ASSESSMENT LATERALITY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/retinoblastoma_assessment_laterality_de.asp?shownav=0
INTERNATIONAL CLASSIFICATION FOR INTRAOCULAR RETINOBLASTOMA,CTYA,R,an1,See INTERNATIONAL CLASSIFICATION FOR INTRAOCULAR RETINOBLASTOMA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/international_classification_for_intraocular_retinoblastoma_de.asp?shownav=0
CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY (CONSULTANT PRESCRIBING CHEMOTHERAPY),CTYA,R,an1,See CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/children_teenagers_and_young_adults_age_category_(consultant_prescribing_chemotherapy)_de.asp?shownav=0
FINAL FIGO STAGE,Gynaecological,R,max an7,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/final_figo_stage_de.asp?shownav=0
FINAL FIGO STAGE DATE,Gynaecological,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/final_figo_stage_date_de.asp?shownav=0
CARE PROFESSIONAL SENIOR OPERATING SURGEON GRADE (CANCER),Gynaecological,R,an1,See CARE PROFESSIONAL SENIOR OPERATING SURGEON GRADE FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_senior_operating_surgeon_grade_(cancer)_de.asp?shownav=0
RESIDUAL DISEASE SIZE (GYNAECOLOGICAL CANCER),Gynaecological,R,an1,See RESIDUAL DISEASE SIZE FOR GYNAECOLOGICAL CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/residual_disease_size_(gynaecological_cancer)_de.asp?shownav=0
MIXED PHENOTYPE ACUTE LEUKAEMIA SYMPTOMS (AT DIAGNOSIS),Haematological,R,an1,See MIXED PHENOTYPE ACUTE LEUKAEMIA SYMPTOMS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/mixed_phenotype_acute_leukaemia_symptoms_(at_diagnosis)_de.asp?shownav=0
EUROPEAN GROUP FOR THE IMMUNOLOGICAL CLASSIFICATION OF LEUKAEMIA SCORING SYSTEM SCORE,Haematological,R,an1,See EUROPEAN GROUP FOR THE IMMUNOLOGICAL CLASSIFICATION OF LEUKAEMIA SCORING SYSTEM SCORE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/european_group_for_the_immunological_classification_of_leukaemia_scoring_system_score_de.asp?shownav=0
FRENCH AMERICAN BRITISH CLASSIFICATION (ACUTE MYELOID LEUKAEMIA),Haematological,R,max an5,See FRENCH AMERICAN BRITISH CLASSIFICATION FOR ACUTE MYELOID LEUKAEMIA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/fo/french_american_british_classification_(acute_myeloid_leukaemia)_de.asp?shownav=0
CYTOGENETIC RISK GROUP (PAEDIATRIC MOLECULAR GENETIC ABNORMALITIES),Haematological,R,an1,See CYTOGENETIC RISK GROUP FOR PAEDIATRIC MOLECULAR GENETIC ABNORMALITIES,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytogenetic_risk_group_(paediatric_molecular_genetic_abnormalities)_de.asp?shownav=0
ACUTE MYELOID LEUKAEMIA RISK FACTORS (AT DIAGNOSIS),Haematological,R,an1,See ACUTE MYELOID LEUKAEMIA RISK FACTORS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/act/acute_myeloid_leukaemia_risk_factors_(at_diagnosis)_de.asp?shownav=0
PAEDIATRIC MYELODYSPLASIA CLINICAL FINDINGS (AT DIAGNOSIS),Haematological,R,an1,See PAEDIATRIC MYELODYSPLASIA CLINICAL FINDINGS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/paediatric_myelodysplasia_clinical_findings_(at_diagnosis)_de.asp?shownav=0
UNDERLYING DISEASE ASSOCIATED WITH MYELODYSPLASIA (AT DIAGNOSIS),Haematological,R,an1,See UNDERLYING DISEASE ASSOCIATED WITH MYELODYSPLASIA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/un/underlying_disease_associated_with_myelodysplasia_(at_diagnosis)_de.asp?shownav=0
CONGENITAL ANOMALIES COMMENT,Haematological,R,max an300,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/co/congenital_anomalies_comment_de.asp?shownav=0
OTHER MYELODYSPLASIA SYMPTOMS AT DIAGNOSIS,Haematological,R,an1,See OTHER MYELODYSPLASIA SYMPTOMS AT DIAGNOSIS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/ori/other_myelodysplasia_symptoms_at_diagnosis_de.asp?shownav=0
RISK GROUP ALLOCATION (ACUTE LYMPHOBLASTIC LEUKAEMIA),Haematological,R,an1,See RISK GROUP ALLOCATION FOR ACUTE LYMPHOBLASTIC LEUKAEMIA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/risk_group_allocation_(acute_lymphoblastic_leukaemia)_de.asp?shownav=0
NUMBER OF ABNORMAL NODAL AREAS,Haematological,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_abnormal_nodal_areas_de.asp?shownav=0
PRIMARY EXTRANODAL SITE,Haematological,R,an2,See PRIMARY EXTRANODAL SITE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_extranodal_site_de.asp?shownav=0
NUMBER OF EXTRANODAL SITES CODE,Haematological,R,an1,See NUMBER OF EXTRANODAL SITES CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_extranodal_sites_code_de.asp?shownav=0
SPLEEN BELOW COSTAL MARGIN,Haematological,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/spleen_below_costal_margin_de.asp?shownav=0
CHRONIC MYELOID LEUKAEMIA INDEX SCORE (SOKAL),Haematological,R,n1.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/chronic_myeloid_leukaemia_index_score_(sokal)_de.asp?shownav=0
INTERNATIONAL PROGNOSTIC SCORING SYSTEM SCORE,Haematological,R,n1.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/international_prognostic_scoring_system_score_de.asp?shownav=0
HEPATOMEGALY INDICATOR,Haematological,R,an1,See HEPATOMEGALY INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/he/hepatomegaly_indicator_de.asp?shownav=0
SPLENOMEGALY INDICATOR,Haematological,R,an1,See SPLENOMEGALY INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/splenomegaly_indicator_de.asp?shownav=0
NUMBER OF LYMPHADENOPATHY AREAS,Haematological,R,n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_lymphadenopathy_areas_de.asp?shownav=0
FOLLICULAR LYMPHOMA INTERNATIONAL PROGNOSTIC INDEX 2 SCORE,Haematological,R,n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/fo/follicular_lymphoma_international_prognostic_index_2_score_de.asp?shownav=0
REVISED INTERNATIONAL PROGNOSTIC INDEX SCORE,Haematological,R,n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/revised_international_prognostic_index_score_de.asp?shownav=0
